execution_start_time,2021-07-26 07:30:53.254017
HV Benchmark,0.6490026902270416
execution_end_time,2021-07-27 17:14:29.070342
total_model_runs,10
average_run_time,0 days 03:20:58.138013300
total_duration,"1 day, 9:43:35.816325"
start_time_formatted,"07/26/2021, 07:30:53"
end_time_formatted,"07/27/2021, 17:14:29"
HV obtained,0.6549022385859326
total_demand,2423950.0
n,110
wt,0
tp,5
ref_point_max_f1_ATT,45
ref_point_min_f1_ATT,22
ref_point_max_f2_TRT,6000
ref_point_min_f2_TRT,864
walkFactor,3
boardingTime,0
alightingTime,0
large_dist,10000
alpha_const_inter,0.5
con_r,56
con_minNodes,10
con_maxNodes,22
con_N_nodes,110
con_fleet_size,250
con_vehicle_capacity,20
con_lower_bound,0
con_upper_bound,1
method,GA
termination_criterion,StoppingByEvaluations
population_size,400
generations,200
number_of_runs,10
crossover_probability,0.8
mutation_probability,0.9
mutation_threshold,0.03
mutation_ratio,0.5
gen_compare_HV,40
HV_improvement_th,0.0001
crossover_distribution_index,5
mutation_distribution_index,10
tournament_size,2
max_evaluations,25000
number_of_variables,6
number_of_objectives,2
Number_of_initial_solutions,10000
